exercise,n,mae,rmse,r2,pcc
E0,152,0.6575571298599243,0.7974700331687927,-0.03262353478482738,0.8544084511952486
E1,107,0.5223476886749268,0.6251345872879028,0.43065438694407676,0.8493935895820538
E2,86,0.36191198229789734,0.5069109797477722,0.6299829263989202,0.8656706253140267
E3,106,0.9054349660873413,0.9915701150894165,-1.1626813153060342,0.23603436704453928
E4,92,0.5329064726829529,0.6629733443260193,0.23156832867624166,0.7639281070401478
E5,106,0.3628634214401245,0.44208377599716187,0.3793135956145961,0.7000386669831691
E6,104,0.22044529020786285,0.3611651360988617,0.6957594431817524,0.8378379501118882
E7,106,0.4043181836605072,0.5645592212677002,-0.11215710598912287,0.30963150772531445
E8,104,0.30472344160079956,0.4889667332172394,0.6281574181626783,0.8526140566045322
E9,59,0.1813058704137802,0.1978933960199356,-0.16526629711685747,0.036075230560338026
