exercise,n,mae,rmse,r2,pcc
E0,464,0.4019089937210083,0.5012736916542053,0.5898356774444253,0.8535857195529075
E1,326,0.44440287351608276,0.5598047971725464,0.5427089147405039,0.8698754552968477
E2,258,0.31253454089164734,0.42234906554222107,0.7431370695600833,0.8727283264570828
E3,319,0.7606220245361328,0.8412882089614868,-0.559736372896865,0.4074218358833352
E4,286,0.6005011796951294,0.6470255255699158,0.26864566822803004,0.8122049050198171
E5,321,0.3284805417060852,0.4719608426094055,0.30225496817753783,0.6909121285136152
E6,314,0.25960686802864075,0.3712638020515442,0.677579712582342,0.8362286019560717
E7,319,0.3860015273094177,0.5202834010124207,0.05262564411304371,0.354261262102673
E8,317,0.2859363257884979,0.49509480595588684,0.6195696231877162,0.7896913464094871
E9,182,0.18337053060531616,0.1858631670475006,-0.027724910893355492,-0.2157832928412603
