exercise,n,mae,rmse,r2,pcc
E0,320,0.34306350350379944,0.42529329657554626,0.7586950497410064,0.8906492055393439
E1,326,0.3689389228820801,0.4841071665287018,0.658018611508632,0.8611476391249798
E2,258,0.2891162037849426,0.3873394727706909,0.7839561793760806,0.8899652868587542
E3,319,0.8729565739631653,0.9473366737365723,-0.9777448588370603,0.3206065152508436
E4,286,0.5590458512306213,0.640191912651062,0.2840125733537443,0.8192407696293135
E5,181,0.22731401026248932,0.256279855966568,-4.65814033108881,-0.5169116635465636
E6,179,0.06255393475294113,0.06278716772794724,0.0,
E7,181,0.18783560395240784,0.21263141930103302,0.05607852092007726,0.289938026967123
E8,181,0.0737861841917038,0.09057874232530594,-2.0224037854174695,-0.21302089842884694
E9,182,0.1830112189054489,0.24390791356563568,-0.769872717250446,-0.15005719812173104
