exercise,n,mae,rmse,r2,pcc
E0,156,0.34939244389533997,0.413055956363678,0.7207474666103582,0.8582600290400808
E1,110,0.3129338324069977,0.4463637173175812,0.7086090292602649,0.8913517667879945
E2,86,0.28086772561073303,0.3705654740333557,0.8022628872896355,0.8974465493249345
E3,107,0.8284276127815247,0.8864521384239197,-0.7382146963217615,0.4272107659565719
E4,98,0.5966591835021973,0.6406272053718567,0.279667929577296,0.8160942053732889
E5,108,0.34589365124702454,0.4533439874649048,0.35942263036531985,0.6810915038375652
E6,105,0.179769828915596,0.36005598306655884,0.6963134298310192,0.8510212345695741
E7,107,0.38224923610687256,0.5435047149658203,-0.039982273282227254,0.36313238706880385
E8,107,0.2777634263038635,0.47700056433677673,0.6462369992619814,0.8041399611186992
E9,62,0.18275028467178345,0.19896291196346283,-0.17878364301405836,-0.16866342479742638
