split,exercise,n,mae,rmse,r2,pcc
Train,all,317,0.4109288156032562,0.6315739750862122,0.5884367985452179,0.7856782242841519
Val,all,95,0.3201338052749634,0.4118318259716034,0.7889538845495361,0.8956000318764988
Test,all,152,0.46025511622428894,0.5710270404815674,0.47054807270894483,0.8633979165663014
Train,E0,317,0.4109288156032562,0.6315739750862122,0.5884367985452179,0.7856782242841519
Val,E0,95,0.3201338052749634,0.4118318259716034,0.7889538845495361,0.8956000318764988
Test,E0,152,0.46025511622428894,0.5710270404815674,0.47054807270894483,0.8633979165663014
