exercise,n,mae,rmse,r2,pcc
E0,464,0.41139376163482666,0.5161474347114563,0.5651337487738288,0.8580235581789146
E1,326,0.41210487484931946,0.5317572951316833,0.5873836843239446,0.8478684731264086
E2,258,0.31431666016578674,0.40394628047943115,0.7650336998205505,0.8879586869462321
E3,319,0.8810139894485474,0.9523768424987793,-0.9988456609185459,0.34060153544816846
E4,286,0.5203907489776611,0.5992811918258667,0.3725973377037227,0.811553397575797
E5,321,0.32929727435112,0.424329549074173,0.4359840814742575,0.7032728272457356
E6,314,0.28604134917259216,0.42105281352996826,0.5853036039071079,0.8478847171599466
E7,319,0.39595672488212585,0.5892923474311829,-0.21535532839662186,0.3759821372787996
E8,317,0.33269402384757996,0.5011442303657532,0.6102160486046291,0.797526385379698
E9,182,0.1792566031217575,0.22973322868347168,-0.5701377546409117,0.13115248123429177
