split,exercise,n,mae,rmse,r2,pcc
Train,all,316,1.058374047279358,1.2013999223709106,-0.8512668760331423,0.7681141483126762
Val,all,101,1.29118013381958,1.3901925086975098,-2.4250798025813114,0.766247757530028
Test,all,107,1.376901388168335,1.431775689125061,-1.9866120499561135,0.8869736602435901
Train,E0,316,1.058374047279358,1.2013999223709106,-0.8512668760331423,0.7681141483126762
Val,E0,101,1.29118013381958,1.3901925086975098,-2.4250798025813114,0.766247757530028
Test,E0,107,1.376901388168335,1.431775689125061,-1.9866120499561135,0.8869736602435901
