exercise,n,mae,rmse,r2,pcc
E0,156,0.370696097612381,0.43375149369239807,0.692063449547753,0.8580556544739284
E1,108,0.46450018882751465,0.5524942278862,0.5539725027698337,0.8895088378371615
E2,86,0.31029465794563293,0.41881033778190613,0.7474233815676552,0.8963950731024123
E3,106,0.7564172744750977,0.822417140007019,-0.487749927748917,0.41901342046193996
E4,95,0.5163483023643494,0.5736941695213318,0.4220422255300543,0.8142256868950903
E5,106,0.3310329020023346,0.4322178065776825,0.40670824690509544,0.6811530610739643
E6,104,0.23839789628982544,0.35768693685531616,0.7015911982661318,0.8482215518249625
E7,106,0.40428632497787476,0.5572177171707153,-0.08342035147901594,0.36595938219599533
E8,105,0.32671675086021423,0.49491333961486816,0.6189156932372203,0.802875844601284
E9,61,0.18137921392917633,0.25782570242881775,-0.9779114051571784,-0.26969293385857585
