exercise,n,mae,rmse,r2,pcc
E0,152,0.3730936348438263,0.4916512072086334,0.6075110290351684,0.8591870617130004
E1,108,0.29605498909950256,0.4588715732097626,0.6938012389255861,0.8928747459458941
E2,86,0.30231404304504395,0.4126487672328949,0.7548005940573455,0.8953119349794892
E3,106,0.8389461636543274,0.9570167064666748,-1.0145810680266543,0.42384234330921233
E4,94,0.5808831453323364,0.6452584862709045,0.2838843454355471,0.8142859073650823
E5,108,0.4014030694961548,0.4671856462955475,0.31970874253251613,0.682380984104267
E6,105,0.24929508566856384,0.4066493809223175,0.6126301533053583,0.8512035667451076
E7,106,0.4797084629535675,0.6224384307861328,-0.35188586191631877,0.36560722789191114
E8,105,0.2778773307800293,0.48308485746383667,0.6393350193779214,0.79976883885139
E9,59,0.36324918270111084,0.40451446175575256,-3.8688978907137113,0.29079822592327353
