exercise,n,mae,rmse,r2,pcc
E0,464,0.444627046585083,0.5895362496376038,0.4326786776365519,0.8422289096641393
E1,326,0.3289497494697571,0.470292329788208,0.6772581399846469,0.8578876690020967
E2,258,0.30645596981048584,0.4159543812274933,0.750856421750532,0.8748516201951126
E3,319,0.9777662754058838,1.0462801456451416,-1.4124455381221583,0.2486046600212629
E4,286,0.6217923760414124,0.7034702897071838,0.1354769274311335,0.7967274397331663
E5,321,0.3626358211040497,0.43571120500564575,0.40532147646457284,0.7210936660958635
E6,314,0.19961857795715332,0.3603721261024475,0.6962197847336322,0.8426145646607031
E7,319,0.4105517268180847,0.601292073726654,-0.2653557550470069,0.37080611734563723
E8,317,0.3408198654651642,0.53685063123703,0.5526932578756545,0.8027799279144283
E9,182,0.22610750794410706,0.29158973693847656,-1.529499991004342,-0.06497774498758804
