exercise,n,mae,rmse,r2,pcc
E0,152,0.5261699557304382,0.6577057242393494,0.2976129357262861,0.8405892421192642
E1,107,0.6505234837532043,0.7570396065711975,0.1650392171306988,0.8540455883426472
E2,86,0.38687434792518616,0.4424091875553131,0.7181574688584555,0.919557012566135
E3,92,0.3346531093120575,0.4662659764289856,0.6199151025858052,0.8193648260139991
E4,106,0.340482234954834,0.4775148034095764,0.27583623247185407,0.6860067452599651
E5,104,0.4132346510887146,0.4938465356826782,0.4311607813517584,0.8383412280302578
E6,104,0.4349711239337921,0.5272731781005859,0.5676137396531689,0.8179460058985193
