split,exercise,fusion,cam_feature_dim,fused_dim,shared_backbone,best_epoch,stopped_epoch,val_mae,val_rmse,val_r2,val_pcc,test_mae,test_rmse,test_r2,test_pcc,n
test_overall,all,mid,64.0,192.0,False,159.0,259.0,0.47045421600341797,0.5592739582061768,0.5135851114365142,0.8095402162908841,0.44999685883522034,0.5680764317512512,0.5128133878248345,0.8062136727305712,
test_per_exercise,E0,mid,,,,,,,,,,0.5261699557304382,0.6577057242393494,0.2976129357262861,0.8405892421192642,152.0
test_per_exercise,E1,mid,,,,,,,,,,0.6505234837532043,0.7570396065711975,0.1650392171306988,0.8540455883426472,107.0
test_per_exercise,E2,mid,,,,,,,,,,0.38687434792518616,0.4424091875553131,0.7181574688584555,0.919557012566135,86.0
test_per_exercise,E3,mid,,,,,,,,,,0.3346531093120575,0.4662659764289856,0.6199151025858052,0.8193648260139991,92.0
test_per_exercise,E4,mid,,,,,,,,,,0.340482234954834,0.4775148034095764,0.27583623247185407,0.6860067452599651,106.0
test_per_exercise,E5,mid,,,,,,,,,,0.4132346510887146,0.4938465356826782,0.4311607813517584,0.8383412280302578,104.0
test_per_exercise,E6,mid,,,,,,,,,,0.4349711239337921,0.5272731781005859,0.5676137396531689,0.8179460058985193,104.0
