exercise,n,mae,rmse,r2,pcc
E0,464,0.36164289712905884,0.46257999539375305,0.6507134900426228,0.8584940612425525
E1,326,0.2947169542312622,0.41801363229751587,0.7450233780574642,0.8912452624986158
E2,258,0.28662747144699097,0.3789629638195038,0.7931993587373151,0.8942726389448554
E3,319,0.8443141579627991,0.9060817360877991,-0.8092405058633672,0.42215992410442676
E4,286,0.6270157098770142,0.6657534241676331,0.22569535270385688,0.8143347855978817
E5,321,0.37698835134506226,0.486530065536499,0.258511880693043,0.6814459486774356
E6,314,0.23996804654598236,0.4079630970954895,0.6106870314148976,0.8503550296420177
E7,319,0.40329858660697937,0.5804617404937744,-0.17920391491592946,0.36632719352631843
E8,317,0.2788056433200836,0.48566755652427673,0.6339194486064834,0.8021911519353321
E9,182,0.18234696984291077,0.24525786936283112,-0.7895182042034394,-0.1932418681471424
