exercise,n,mae,rmse,r2,pcc
E0,152,0.5359130501747131,0.6868565082550049,0.23397086086511398,0.829682802645814
E1,108,0.4815307855606079,0.6266171932220459,0.4290136342820746,0.8512196099241318
E2,86,0.3401179015636444,0.4440767168998718,0.7160287746029581,0.9269843097568571
E3,94,0.5825751423835754,0.6683737635612488,0.23165796113926496,0.8101602930579891
E4,108,0.3332008123397827,0.4339751601219177,0.41298982218064806,0.7230738385084307
E5,105,0.24613581597805023,0.38332313299179077,0.6557962510949066,0.8143648839379973
E6,105,0.29513654112815857,0.47784239053726196,0.6471204597888358,0.8162207436336574
