exercise,n,mae,rmse,r2,pcc
E0,291,0.34885936975479126,0.4697902798652649,0.5737069303213679,0.8324858528224707
E1,389,0.3813786804676056,0.44777294993400574,0.7327505510965527,0.8661329641457516
E2,208,0.2926251292228699,0.35771656036376953,0.3373537703354399,0.927036960716662
E3,178,0.4622696340084076,0.5949463844299316,0.04387341056742733,0.5128946146102412
E4,121,0.45280468463897705,0.48435652256011963,0.49268394689332184,0.7489644976077782
E5,337,0.3840423822402954,0.4593978226184845,0.19268243668034035,0.7640429463758733
E6,182,0.30887371301651,0.3791159689426422,0.4827312883280015,0.7387101545047076
E7,172,0.4612218141555786,0.5905283093452454,0.24453825569476728,0.5264253473818781
E8,211,0.35138076543807983,0.4799897074699402,0.7598080416977606,0.8864899729329493
E9,252,0.43657150864601135,0.5991256237030029,-0.2122193005324473,0.5751847357678798
