exercise,n,mae,rmse,r2,pcc
E0,464,0.3283598721027374,0.43357017636299133,0.6931494086870562,0.8479072624632467
E1,326,0.3411618173122406,0.4512515068054199,0.7028629893159581,0.8560236904699311
E2,258,0.28868618607521057,0.381727933883667,0.7901706939189624,0.8922152125598439
E3,319,0.922216534614563,0.9931196570396423,-1.173525580704752,0.35585444119161186
E4,286,0.6472592949867249,0.6851660013198853,0.1798814234121402,0.8145804486842061
E5,321,0.3697459101676941,0.459823876619339,0.33768006946341633,0.6602968746289646
E6,314,0.23512044548988342,0.36075735092163086,0.695569964692152,0.843465191708893
E7,319,0.386005699634552,0.5350432991981506,-0.0018889438005758041,0.37052323939809134
E8,317,0.2982974946498871,0.496719092130661,0.6170693385530919,0.7907292290403942
E9,182,0.17999137938022614,0.2392888069152832,-0.703472006475667,0.12048647366369203
