exercise,n,mae,rmse,r2,pcc
E0,152,0.4840076267719269,0.5858083963394165,0.44278296816757234,0.8561361330130377
E1,107,0.6984993815422058,0.808862030506134,0.046813587137270574,0.8929430922561705
E2,86,0.2880566716194153,0.37600934505462646,0.7964103906866559,0.9110151851614039
E3,92,0.41703957319259644,0.5411938428878784,0.4879424024693544,0.8124607754510832
E4,106,0.42653101682662964,0.6888236999511719,-0.5068820079460847,0.6748836976252307
E5,104,0.2929017245769501,0.430132657289505,0.5684707199056689,0.8459227604668048
E6,104,0.2881205379962921,0.4809717535972595,0.640217759138749,0.81008356143839
