split,exercise,n,mae,rmse,r2,pcc
Train,all,316,0.8626440763473511,0.999876856803894,-0.28229190862420706,0.7700978319553449
Val,all,101,0.9204248189926147,1.038521647453308,-0.9114017779490622,0.7700479876508444
Test,all,107,1.0712047815322876,1.1546690464019775,-0.9424231827327205,0.8552867433622223
Train,E0,316,0.8626440763473511,0.999876856803894,-0.28229190862420706,0.7700978319553449
Val,E0,101,0.9204248189926147,1.038521647453308,-0.9114017779490622,0.7700479876508444
Test,E0,107,1.0712047815322876,1.1546690464019775,-0.9424231827327205,0.8552867433622223
