exercise,n,mae,rmse,r2,pcc
E0,156,0.53690505027771,0.6980363726615906,0.20249125270215018,0.8584627909880322
E1,110,0.35795924067497253,0.47449204325675964,0.6707269244893652,0.8818662088115076
E2,86,0.3131237328052521,0.4271918535232544,0.7372127740577658,0.8677714754476733
E3,107,0.9915329217910767,1.0506764650344849,-1.4419162242032209,0.2323832727155224
E4,97,0.570195198059082,0.6609013676643372,0.22839070628998193,0.8224625430182454
E5,107,0.38427239656448364,0.4521327614784241,0.3649489570030058,0.7005209514347419
E6,105,0.20589375495910645,0.3511890470981598,0.7110867303771474,0.8515438194162146
E7,107,0.3864542245864868,0.5737746953964233,-0.15904990699830068,0.36820543677223044
E8,107,0.30766621232032776,0.5079595446586609,0.5988259105362554,0.8034308528685616
E9,62,0.18325713276863098,0.25657036900520325,-0.9602113398572052,-0.12624612989849984
