exercise,n,mae,rmse,r2,pcc
E0,464,0.32321497797966003,0.4153175354003906,0.7184415337821037,0.858778222847775
E1,326,0.2766021192073822,0.3982506990432739,0.7685631211488533,0.8934997399177882
E2,258,0.28127536177635193,0.3804972469806671,0.7915214520867973,0.8900425936783791
E3,319,0.8076236844062805,0.8711408376693726,-0.6723930445850885,0.4336796097554687
E4,286,0.5829339027404785,0.6522584557533264,0.25676776169740734,0.8181593920132212
E5,321,0.3707449734210968,0.4531320035457611,0.3568174786019612,0.6791445284773184
E6,314,0.1874419003725052,0.35718193650245667,0.7015744419818828,0.8522309360076419
E7,319,0.37144750356674194,0.507799506187439,0.09754362178479059,0.3740220111864487
E8,317,0.3085748851299286,0.48605039715766907,0.6333420925412977,0.8032782147422842
E9,182,0.18757401406764984,0.24073262512683868,-0.724090609272213,-0.13009284039860244
