exercise,n,mae,rmse,r2,pcc
E0,156,0.3221960663795471,0.4031178653240204,0.7340234309085103,0.8610266565652877
E1,110,0.24607951939105988,0.38451966643333435,0.7837602848980497,0.8931438682370627
E2,86,0.29467007517814636,0.39033445715904236,0.7806022656059939,0.8931172963832831
E3,107,0.9114983081817627,0.9797489047050476,-1.123353786056029,0.4333321007214699
E4,98,0.6733927726745605,0.707585871219635,0.12121969338732785,0.8172601811773764
E5,108,0.3721628189086914,0.4559607207775116,0.3520063529076649,0.6728627603294863
E6,105,0.21601802110671997,0.39035993814468384,0.6430429082901272,0.8526029651602498
E7,107,0.36892062425613403,0.5397570133209229,-0.02568944813975782,0.37180871767451457
E8,107,0.30389970541000366,0.4864268898963928,0.6321169668170159,0.800601304989371
E9,62,0.24436649680137634,0.3068758547306061,-1.8042410898680914,-0.24435194679105302
