exercise,n,mae,rmse,r2,pcc
E0,152,0.3756539821624756,0.48124411702156067,0.6239513267310084,0.8290096809045739
E1,107,0.5186265707015991,0.6244714260101318,0.43186175123117265,0.8230123700671381
E2,86,0.6841585636138916,0.9400454759597778,-0.2724949271660153,0.850802203012046
E3,106,0.83024001121521,0.9096848964691162,-0.8202358305548223,0.32930318723174407
E4,92,0.723391056060791,0.8310277462005615,-0.20738056995523735,0.8062542991244513
E5,106,0.41238418221473694,0.5451313853263855,0.056231683886372896,0.7203647069493273
E6,104,0.4316507577896118,0.6266474723815918,0.08409152627165994,0.8318297066535895
E7,106,0.47310659289360046,0.5987741351127625,-0.25104592228538203,0.35846950247808596
E8,104,0.5200996994972229,0.8872395753860474,-0.22428429734209376,0.8320197239356817
E9,59,0.18629245460033417,0.25100940465927124,-0.8747464410158756,-0.04517631338309206
