exercise,n,mae,rmse,r2,pcc
E0,152,0.5521539449691772,0.6916217803955078,0.22330496787152854,0.8589631554038235
E1,107,0.46165895462036133,0.5998789668083191,0.4757286809044097,0.8865887729715958
E2,86,0.40444526076316833,0.5571768283843994,0.5529620675437734,0.8971217431167825
E3,92,0.6257467865943909,0.6699945330619812,0.21520603623735324,0.8060964828646922
E4,106,0.36383119225502014,0.4414854645729065,0.38099254399334637,0.6963602111818821
E5,104,0.35152193903923035,0.5198607444763184,0.36965317279627663,0.8465475204006356
E6,104,0.434023916721344,0.7138607501983643,0.20744839434455742,0.8204016777495508
