split,exercise,n,mae,rmse,r2,pcc
Train,all,948,0.5692679286003113,0.7358525395393372,0.3054948806324045,0.7698201170709613
Val,all,303,0.6593009233474731,0.8342272639274597,-0.23335910693657524,0.7283737309848535
Test,all,321,0.7205677628517151,0.8443180918693542,-0.03858259887188975,0.8431929199401952
Train,E0,948,0.5692679286003113,0.7358525395393372,0.3054948806324045,0.7698201170709613
Val,E0,303,0.6593009233474731,0.8342272639274597,-0.23335910693657524,0.7283737309848535
Test,E0,321,0.7205677628517151,0.8443180918693542,-0.03858259887188975,0.8431929199401952
