exercise,n,mae,rmse,r2,pcc
E0,143,0.49928250908851624,0.6594294309616089,0.32873220004917636,0.7342352465824257
E1,107,0.5639466643333435,0.765577495098114,0.1460996911495842,0.8345298952207217
E2,86,0.3025970458984375,0.4030318856239319,0.766096282771874,0.8974829217810651
E3,84,0.5115801692008972,0.5874608159065247,0.35010883471221155,0.7701098185007141
E4,106,0.42747893929481506,0.4870423674583435,0.24665047975879817,0.6874927499416704
E5,104,0.21423576772212982,0.4014482796192169,0.6241066179356317,0.8249160736486361
E6,104,0.31523212790489197,0.4964752793312073,0.616649739272541,0.8269367463330892
