exercise,n,mae,rmse,r2,pcc
E0,464,0.3460920453071594,0.44735783338546753,0.673323263203975,0.8454734141362801
E1,326,0.31716564297676086,0.4760609567165375,0.669292083290816,0.8487588862740957
E2,258,0.3190704584121704,0.42846497893333435,0.735644110935197,0.8940780410704081
E3,319,0.8943103551864624,0.9607406258583069,-1.0341073123518476,0.35830732716375757
E4,286,0.6714458465576172,0.7129513621330261,0.11201658031207051,0.8082283982806763
E5,321,0.37183424830436707,0.4417300522327423,0.38877838061104975,0.7057114328359952
E6,314,0.2264546900987625,0.3600532114505768,0.6967572006182368,0.8497482465830829
E7,319,0.4028358459472656,0.5195270776748657,0.05537785422964958,0.36183735245096427
E8,317,0.30642449855804443,0.4740986227989197,0.6511523127069587,0.8124574134050458
E9,182,0.20889510214328766,0.27832382917404175,-1.304575418908723,-0.23128729603420342
