exercise,n,mae,rmse,r2,pcc
E0,156,0.40036559104919434,0.5063897967338562,0.5802901034859022,0.8564637460350324
E1,108,0.4141494929790497,0.5592240691184998,0.5430404745609723,0.8551487509334267
E2,86,0.31097742915153503,0.40236514806747437,0.7668695236053422,0.8894802456116694
E3,106,0.8200033903121948,0.9068938493728638,-0.8090833311071282,0.3924934041192759
E4,95,0.5367546677589417,0.6031239628791809,0.36122423239274093,0.813401039350791
E5,106,0.34543314576148987,0.4392264783382416,0.3873110314411573,0.6905904815871858
E6,104,0.26688286662101746,0.3860442638397217,0.6524001178261258,0.850988466001208
E7,106,0.43781182169914246,0.6302952170372009,-0.3862296417727691,0.36686207338628135
E8,105,0.29354673624038696,0.490336149930954,0.6259320727155834,0.8000995958749781
E9,61,0.2413061559200287,0.3040512204170227,-1.750730019574723,-0.3187233488782135
