split,exercise,n,mae,rmse,r2,pcc
Train,all,317,0.9597234129905701,1.0537840127944946,-0.14575364753186837,0.7552584922193226
Val,all,95,0.7257825136184692,0.9211627840995789,-0.05586976270446886,0.7654777454703733
Test,all,152,0.8373042941093445,0.9485517740249634,-0.4609499126313783,0.8252607161388628
Train,E0,317,0.9597234129905701,1.0537840127944946,-0.14575364753186837,0.7552584922193226
Val,E0,95,0.7257825136184692,0.9211627840995789,-0.05586976270446886,0.7654777454703733
Test,E0,152,0.8373042941093445,0.9485517740249634,-0.4609499126313783,0.8252607161388628
