split,exercise,n,mae,rmse,r2,pcc
Train,all,317,1.1160829067230225,1.2192763090133667,-0.533883272517439,0.7365267230071283
Val,all,95,0.8767905235290527,1.055260181427002,-0.3856599387228883,0.5114493468987703
Test,all,152,0.9146656394004822,1.0576986074447632,-0.8165070440101039,0.8208275827774574
Train,E0,317,1.1160829067230225,1.2192763090133667,-0.533883272517439,0.7365267230071283
Val,E0,95,0.8767905235290527,1.055260181427002,-0.3856599387228883,0.5114493468987703
Test,E0,152,0.9146656394004822,1.0576986074447632,-0.8165070440101039,0.8208275827774574
