split,exercise,n,mae,rmse,r2,pcc
Train,all,316,0.5838487148284912,0.752685010433197,0.27335821094883184,0.7719047229246613
Val,all,101,0.5785807371139526,0.738115131855011,0.034462873645511594,0.7761348945918404
Test,all,107,0.684636652469635,0.8009477257728577,0.0653752841004761,0.8737494712117914
Train,E0,316,0.5838487148284912,0.752685010433197,0.27335821094883184,0.7719047229246613
Val,E0,101,0.5785807371139526,0.738115131855011,0.034462873645511594,0.7761348945918404
Test,E0,107,0.684636652469635,0.8009477257728577,0.0653752841004761,0.8737494712117914
