split,exercise,n,mae,rmse,r2,pcc
Train,all,951,1.0956162214279175,1.1883150339126587,-0.456972022621708,0.7389889084541394
Val,all,285,0.8532364368438721,1.0339035987854004,-0.3301410175032289,0.6987870204283165
Test,all,456,0.8654020428657532,1.0173701047897339,-0.6806264921374148,0.7943769821900749
Train,E0,951,1.0956162214279175,1.1883150339126587,-0.456972022621708,0.7389889084541394
Val,E0,285,0.8532364368438721,1.0339035987854004,-0.3301410175032289,0.6987870204283165
Test,E0,456,0.8654020428657532,1.0173701047897339,-0.6806264921374148,0.7943769821900749
