exercise,n,mae,rmse,r2,pcc
E0,156,0.6476705074310303,0.7945128083229065,-0.03319218923274625,0.8628621514080951
E1,110,0.6070131063461304,0.7986429333686829,0.06716753886679283,0.8934029453948477
E2,86,0.31531184911727905,0.4366968870162964,0.7253886556006132,0.8994963290173271
E3,97,0.38154369592666626,0.5364826321601868,0.49156493699721515,0.8139415290767794
E4,107,0.58708256483078,0.8206255435943604,-1.092024362217935,0.6838823073221759
E5,105,0.3158508241176605,0.4781744182109833,0.46437823967792524,0.8495969124706528
E6,107,0.3504626154899597,0.5932364463806152,0.4528199694771434,0.809679360261565
