exercise,n,mae,rmse,r2,pcc
E0,143,0.4645441174507141,0.6036708950996399,0.4374518349640243,0.855365272840077
E1,107,0.4872087836265564,0.6434901356697083,0.3967288103629546,0.8653971473407168
E2,86,0.25514209270477295,0.33110207319259644,0.842136344697411,0.9227904929100211
E3,84,0.45640286803245544,0.5890712738037109,0.3465407619458627,0.7694469412848393
E4,106,0.3952486217021942,0.48966971039772034,0.23850065773242013,0.6573704762359895
E5,104,0.2745196223258972,0.44894176721572876,0.5299051695184158,0.8514344610670095
E6,104,0.35260316729545593,0.589538037776947,0.4594645378498464,0.785431714821634
